,algorithm,features,p_NFS,p_UFS,p_CFS,p_wavg,r_NFS,r_UFS,r_CFS,r_wavg,f_NFS,f_UFS,f_CFS,f_wavg
0,RF,N,0.999,0.351,0.776,0.881,0.728,0.916,0.833,0.772,0.842,0.508,0.804,0.799
1,RF,W,0.933,0.518,0.768,0.852,0.835,0.864,0.773,0.824,0.881,0.648,0.771,0.832
2,RF,P,0.997,0.91,0.993,0.987,0.986,0.992,0.984,0.986,0.991,0.95,0.989,0.986
3,RF,E,0.802,0.183,0.6,0.692,0.771,0.337,0.447,0.651,0.786,0.237,0.512,0.667
4,RF,N_W,0.936,0.517,0.737,0.847,0.826,0.847,0.781,0.818,0.878,0.642,0.758,0.826
5,RF,N_P,0.999,0.954,0.998,0.994,0.994,0.999,0.993,0.994,0.997,0.976,0.995,0.994
6,RF,N_E,0.819,0.302,0.586,0.712,0.781,0.385,0.593,0.697,0.799,0.338,0.589,0.704
7,RF,N_W_P,0.939,0.619,0.765,0.866,0.87,0.855,0.8,0.852,0.903,0.718,0.782,0.856
8,RF,N_W_E,0.926,0.58,0.783,0.858,0.869,0.84,0.768,0.843,0.897,0.686,0.775,0.847
9,RF,N_W_P_E,0.937,0.622,0.809,0.876,0.885,0.866,0.8,0.863,0.91,0.724,0.805,0.867
